2022-03-16_10-19-53 [main] INFO  c.c.q.QuotesMicroserviceApplication - Started QuotesMicroserviceApplication in 15.56 seconds (JVM running for 18.315)
2022-03-16_10-19-53 [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2022-03-16_10-19-53 [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2022-03-16_10-19-53 [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2022-03-16_10-19-53 [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2022-03-16_10-19-53 [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2022-03-16_10-19-53 [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2022-03-16_10-19-53 [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2022-03-16_10-19-53 [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2022-03-16_10-19-53 [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2022-03-16_10-19-53 [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2022-03-16_10-19-53 [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2022-03-16_10-19-53 [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2022-03-16_10-19-53 [RMI TCP Connection(66)-127.0.0.1] INFO  o.s.b.a.SpringApplicationAdminMXBeanRegistrar$SpringApplicationAdmin - Application shutdown requested.
2022-03-16_10-19-53 [RMI TCP Connection(66)-127.0.0.1] INFO  o.s.c.n.e.s.EurekaServiceRegistry - Unregistering application QUOTES-MIROSERVICE with eureka with status DOWN
2022-03-16_10-19-53 [RMI TCP Connection(66)-127.0.0.1] INFO  c.netflix.discovery.DiscoveryClient - Saw local status change event StatusChangeEvent [timestamp=1647409935385, current=DOWN, previous=UP]
2022-03-16_10-19-53 [DiscoveryClient-InstanceInfoReplicator-0] INFO  c.netflix.discovery.DiscoveryClient - DiscoveryClient_QUOTES-MIROSERVICE/LTIN270266.cts.com:quotes-miroservice:8093: registering service...
2022-03-16_10-19-53 [DiscoveryClient-InstanceInfoReplicator-0] INFO  c.netflix.discovery.DiscoveryClient - DiscoveryClient_QUOTES-MIROSERVICE/LTIN270266.cts.com:quotes-miroservice:8093 - registration status: 204
2022-03-16_10-19-53 [RMI TCP Connection(66)-127.0.0.1] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2022-03-16_10-19-53 [RMI TCP Connection(66)-127.0.0.1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2022-03-16_10-19-53 [RMI TCP Connection(66)-127.0.0.1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2022-03-16_10-19-53 [RMI TCP Connection(66)-127.0.0.1] INFO  c.netflix.discovery.DiscoveryClient - Shutting down DiscoveryClient ...
2022-03-16_10-19-53 [RMI TCP Connection(66)-127.0.0.1] INFO  c.netflix.discovery.DiscoveryClient - Unregistering ...
2022-03-16_10-19-53 [RMI TCP Connection(66)-127.0.0.1] INFO  c.netflix.discovery.DiscoveryClient - DiscoveryClient_QUOTES-MIROSERVICE/LTIN270266.cts.com:quotes-miroservice:8093 - deregister  status: 200
